Trade,Strategy,Symbol,Side,DateIn,TimeIn,QtyIn,PriceIn,DateOut,TimeOut,QtyOut,PriceOut,Reason,Bars,PctGain,Profit,PctMFE,PctMAE,Fraction,Size,CommsIn,CommsInPct,CommsOut,CommsOutPct,SlipIn,SlipInPct,SlipOut,SlipOutPct,Dividends,FXSize,FxIn,FxOut,NetFX,SavedCalcIn,SavedCalcOut,VolumePct_In,VolumePct_Out
32,ASX_Trend_Following,ALS-201212.au,Long,1996-12-16,open,1395.0,3.6281,1997-11-17,open,1395.0,4.378,zero position,214,0.2647,1339.81,0.3506,-0.005,0.05,5061,6.6,0.0013,6.6,0.0011,25.18,0.005,30.69,0.005,306.9,5061.2,1,1,0,0,0,0.13474,3.4875
33,ASX_Trend_Following,NIX-200212.au,Long,1997-05-12,open,1994.0,1.0754,1997-11-17,open,1994.0,1.1443,zero position,131,0.0858,184.01,0.3948,-0.1631,0.0195,2144,6.6,0.0031,6.6,0.0029,27.67,0.0129,11.47,0.005,59.82,2144.35,1,1,0,0,0,0.17339,0.01703
34,ASX_Trend_Following,SID-200006.au,Long,1997-01-06,open,761.0,6.7235,1997-11-17,open,761.0,6.9153,zero position,204,0.0587,300.18,0.227,-0.0332,0.05,5117,6.6,0.0013,6.6,0.0013,25.49,0.005,26.44,0.005,167.42,5116.58,1,1,0,0,0,0.02883,0.06845
35,ASX_Trend_Following,GTV-200701.au,Long,1997-09-29,open,4563.0,1.4171,1997-11-24,open,4563.0,1.204,zero position,35,-0.1171,-757.42,0.0232,-0.2943,0.05,6466,6.6,0.001,6.6,0.0012,32.4,0.005,27.61,0.005,228.15,6466.23,1,1,0,0,0,0.07033,0.10458
36,ASX_Trend_Following,TYA-199906.au,Long,1997-07-28,open,763.0,2.1708,1997-11-24,open,763.0,1.99,zero position,85,-0.0797,-132.08,0.253,-0.1708,0.0138,1656,6.6,0.004,6.6,0.0043,29.87,0.018,7.63,0.005,19.08,1656.32,1,1,0,0,0,0.00863,0.00709
37,ASX_Trend_Following,AOG-200208.au,Long,1997-05-01,open,911.0,2.0101,1997-11-26,open,911.0,1.9005,zero position,131,-0.0418,-76.61,0.2188,-0.0548,0.0167,1831,6.6,0.0036,6.6,0.0038,9.2,0.005,8.7,0.005,36.44,1831.2,1,1,0,0,0,0.08062,0.02603
38,ASX_Trend_Following,AOG-200208.au,Long,1997-02-17,open,1621.0,1.5578,1997-11-26,open,1621.0,1.9005,zero position,177,0.2661,672.0,0.5727,-0.0178,0.0239,2525,6.6,0.0026,6.6,0.0021,26.27,0.0104,15.48,0.005,129.68,2525.19,1,1,0,0,0,0.12566,0.04631
39,ASX_Trend_Following,ARN-199712.au,Long,1997-11-03,open,610.0,9.9897,1997-12-02,close,610.0,9.8704,end of data,13,-0.0141,-85.97,0.0,-0.015,0.05,6094,6.6,0.0011,6.6,0.0011,30.32,0.005,30.26,0.005,0.0,6093.72,1,1,0,0,0,0.0244,2.82407
40,ASX_Trend_Following,GCI-199712.au,Long,1996-12-02,open,833.0,6.1706,1997-12-08,close,833.0,8.4575,end of data,232,0.4718,2424.91,0.4601,-0.0276,0.05,5140,6.6,0.0013,6.6,0.0009,25.49,0.005,35.4,0.005,533.12,5140.11,1,1,0,0,0,0.18923,0.24858
41,ASX_Trend_Following,CRG-201104.au,Long,1997-01-20,open,180.0,11.3664,1997-12-23,open,180.0,13.5818,zero position,217,0.2324,475.57,0.4604,-0.0102,0.0197,2046,6.6,0.0032,6.6,0.0027,25.7,0.0126,12.29,0.005,90.0,2045.95,1,1,0,0,0,0.10588,0.11299
